,joblinks
42,https://de.linkedin.com/jobs/view/sozial%C2%ADver%C2%ADsi%C2%ADche%C2%ADrungs%C2%ADfach%C2%ADan%C2%ADge%C2%ADstellte-als-business-analyst-m-w-d-schwerpunkt-telematik-at-aok-systems-gmbh-3781587384?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=gpZvGOqr%2BY2FMHarhvLu%2BA%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
43,https://de.linkedin.com/jobs/view/senior-marketing-analyst-d-f-m-at-immoscout24-3750809855?refId=pcSCLj6vwV7y8O9ZjjQ2wQ%3D%3D&trackingId=U4zMxkr6qcSO%2Bnfa3hFlHw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
44,https://de.linkedin.com/jobs/view/business-data-analyst-w-m-d-at-jobs-via-efinancialcareers-3792177119?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=iO8mHrCMXKBVkEvPXF35gg%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
45,https://de.linkedin.com/jobs/view/business-analyst-workflow-utility-for-operational-planning-m-w-d-at-freiberger-lebensmittel-gmbh-3735702336?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=fjIGYwJfJNzDQjnisaYnDw%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
46,https://de.linkedin.com/jobs/view/werkstudent-praktikant-business-intelligence-reporting-business-analysis-at-hello-de-3751658783?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=QO8MuRYtD7m34fnTXr7%2BjA%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
47,https://de.linkedin.com/jobs/view/sozial%C2%ADver%C2%ADsi%C2%ADche%C2%ADrungs%C2%ADfach%C2%ADan%C2%ADge%C2%ADstellte-als-business-analyst-m-w-d-schwerpunkt-telematik-at-aok-systems-gmbh-3781587384?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=aR0lQdOV8kPP%2BFcoAtWXzw%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
48,https://de.linkedin.com/jobs/view/senior-marketing-analyst-d-f-m-at-immoscout24-3750809855?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=3SYLalq64dtRKYqo3EIP0Q%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
49,https://de.linkedin.com/jobs/view/business-analyst-dynamics-ax-365-m-w-d-at-swan-consultancy-gmbh-3789325415?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=A3cZICX4CQJi3ptM%2BoE1hQ%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
50,https://de.linkedin.com/jobs/view/business-analyst-insurance-m-w-d-at-verivox-gmbh-3773667653?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=Kv1gzfAex3RFsTNSsP6mxA%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
51,https://de.linkedin.com/jobs/view/business-analyst-all-genders-digitalisierung-at-lufthansa-industry-solutions-3574420173?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=DuQOPCss%2BRyU8zEJYZ4dOw%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
52,https://de.linkedin.com/jobs/view/duales-studium-bwl-schwerpunkt-industrie-b-a-bereich-regulierungsmanagement-berlin-at-50hertz-transmission-gmbh-3735305713?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=K2S%2FRRdVIx3HSUbJm44VKA%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
53,https://de.linkedin.com/jobs/view/duales-studium-b-a-bwl-schwerpunkt-immobilienwirtschaft-buwog-berlin-2024-at-vonovia-3789141784?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=RW82bOrBHBWexRfj7Vx4IA%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
54,https://de.linkedin.com/jobs/view/business-data-analyst-sales-customer-temporary-position-d-f-m-at-immoscout24-3747492043?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=B2RK2sazj4uloOTRLq6ahw%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
55,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3797195903?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=5hpwyPtBSuOrVF%2Fltdoocw%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
56,https://de.linkedin.com/jobs/view/duales-studium-bwl-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802370742?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=rQlAomymN5VOVOgR5mqMGw%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
57,https://de.linkedin.com/jobs/view/senior-managing-consultant-executive-technology-innovation-w-m-x-at-ntt-data-dach-3700519276?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=oYp5CZt9xyQMtwpYU3y%2FAw%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
58,https://de.linkedin.com/jobs/view/business-analyst-in-sales-analytics-d-w-m-at-immoscout24-3767069639?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=bnb4cW6UZX3QUESo9GQvUw%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
59,https://de.linkedin.com/jobs/view/marketing-analyst-w-m-d-at-growney-de-3798369444?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=Hu6ykh%2F94menr6usehfsbQ%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
60,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-43-cl-27-2-at-moyyn-3587529775?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=5WrJVyajzJ9W2H7WjK504w%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
61,https://de.linkedin.com/jobs/view/online-tracking-analyst-m-w-d-in-berlin-deutschland-at-energy-jobline-3791360411?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=3zyUFGj9ZHVZgMIMwc%2BDmw%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
62,https://de.linkedin.com/jobs/view/duales-studium-immobilienwirtschaft-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802371435?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=Pa54AZ7mxmsEmefzB77cFw%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
63,https://de.linkedin.com/jobs/view/german-speaking-social-media-analyst-gn-at-grafton-recruitment-3797835380?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=nCk%2BXRCETMHIkD%2FfhQTwNQ%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
64,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3799790853?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=CnOkCodfE7Oxsy9v2yQgOQ%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
65,https://de.linkedin.com/jobs/view/marketing-analyst-m-f-d-at-aeyde-3804992804?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=mnkdVpkPQXr%2FBJT6roOezg%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
66,https://de.linkedin.com/jobs/view/business-analyst-retail-processes-at-new-yorker-3777563631?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=XsZNWewNGNe11%2FJXutmxPA%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
67,https://de.linkedin.com/jobs/view/senior-data-analyst-all-genders-acquisition-at-urban-sports-club-3803100691?refId=X5faUrmWg39fHSLQa234Ag%3D%3D&trackingId=w6yPfGtzAVWWbp%2Fz7idKDw%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
68,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3802694525?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=9UEhu2p1NJqfZxs%2FKfVbGg%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
